Date,Month,Product_ID,Quantity_Consumed,Quantity_in_Stock,Lead_Time_Days,New_Model_Added,Recall
1/1/2022,January,1000,1,91,9,1,0
1/2/2022,January,1000,0,30,8,0,0
1/3/2022,January,1000,2,132,10,1,0
1/4/2022,January,1000,4,8,1,0,1
1/5/2022,January,1000,5,96,7,0,1
1/6/2022,January,1000,3,103,10,1,0
1/7/2022,January,1000,1,124,10,0,1
1/8/2022,January,1000,2,12,2,1,1
1/9/2022,January,1000,5,124,3,0,1
1/10/2022,January,1000,3,89,7,0,1
1/11/2022,January,1000,5,5,7,1,0
1/12/2022,January,1000,3,57,3,1,0
1/13/2022,January,1000,0,122,3,0,1
1/14/2022,January,1000,5,61,3,0,1
1/15/2022,January,1000,4,11,2,0,1
1/16/2022,January,1000,3,143,10,1,0
1/17/2022,January,1000,5,133,3,0,1
1/18/2022,January,1000,4,37,1,1,0
1/19/2022,January,1000,0,120,8,1,0
1/20/2022,January,1000,3,104,2,0,1
1/21/2022,January,1000,1,96,4,1,1
1/22/2022,January,1000,4,76,1,1,1
1/23/2022,January,1000,2,86,5,0,1
1/24/2022,January,1000,5,118,3,0,0
1/25/2022,January,1000,5,7,5,0,0
1/26/2022,January,1000,2,2,6,0,0
1/27/2022,January,1000,3,18,4,0,0
1/28/2022,January,1000,0,97,4,1,1
1/29/2022,January,1000,1,92,3,1,1
1/30/2022,January,1000,4,142,10,1,0
1/31/2022,January,1000,1,110,7,1,1
2/1/2022,February,1000,3,81,7,1,0
2/2/2022,February,1000,1,43,4,1,0
2/3/2022,February,1000,0,70,4,1,1
2/4/2022,February,1000,2,39,8,1,1
2/5/2022,February,1000,1,142,2,0,1
2/6/2022,February,1000,5,19,5,0,1
2/7/2022,February,1000,1,21,10,1,0
2/8/2022,February,1000,3,102,5,0,0
2/9/2022,February,1000,0,44,6,0,0
2/10/2022,February,1000,2,28,5,1,1
2/11/2022,February,1000,2,114,7,1,1
2/12/2022,February,1000,2,123,10,1,1
2/13/2022,February,1000,4,72,8,1,0
2/14/2022,February,1000,0,110,8,1,0
2/15/2022,February,1000,2,90,5,0,1
2/16/2022,February,1000,5,82,9,0,0
2/17/2022,February,1000,1,24,7,0,1
2/18/2022,February,1000,2,136,5,1,1
2/19/2022,February,1000,5,139,3,0,1
2/20/2022,February,1000,5,90,3,1,1
2/21/2022,February,1000,1,136,2,1,0
2/22/2022,February,1000,4,20,10,1,0
2/23/2022,February,1000,2,11,2,1,0
2/24/2022,February,1000,5,82,10,1,0
2/25/2022,February,1000,3,11,7,0,0
2/26/2022,February,1000,5,150,9,1,1
2/27/2022,February,1000,5,111,10,0,1
2/28/2022,February,1000,5,132,10,1,0
3/1/2022,March,1000,4,53,1,1,1
3/2/2022,March,1000,3,127,1,0,0
3/3/2022,March,1000,5,140,8,0,0
3/4/2022,March,1000,2,32,9,1,0
3/5/2022,March,1000,0,51,7,1,1
3/6/2022,March,1000,5,115,10,1,1
3/7/2022,March,1000,3,125,8,1,0
3/8/2022,March,1000,4,122,6,0,0
3/9/2022,March,1000,4,34,9,0,1
3/10/2022,March,1000,4,99,4,1,0
3/11/2022,March,1000,5,150,1,1,0
3/12/2022,March,1000,1,102,1,0,0
3/13/2022,March,1000,0,31,2,1,0
3/14/2022,March,1000,5,141,8,0,0
3/15/2022,March,1000,5,118,6,0,1
3/16/2022,March,1000,1,132,2,1,1
3/17/2022,March,1000,1,29,4,1,0
3/18/2022,March,1000,2,119,9,1,0
3/19/2022,March,1000,5,71,5,1,1
3/20/2022,March,1000,1,122,3,0,1
3/21/2022,March,1000,3,30,10,1,1
3/22/2022,March,1000,2,140,9,1,1
3/23/2022,March,1000,3,27,6,1,0
3/24/2022,March,1000,5,115,8,0,0
3/25/2022,March,1000,0,0,1,1,1
3/26/2022,March,1000,0,55,4,1,1
3/27/2022,March,1000,3,97,5,1,0
3/28/2022,March,1000,5,108,10,0,1
3/29/2022,March,1000,1,3,5,0,0
3/30/2022,March,1000,2,32,4,0,0
3/31/2022,March,1000,5,24,9,1,1
4/1/2022,April,1000,4,49,7,1,0
4/2/2022,April,1000,3,60,8,1,0
4/3/2022,April,1000,4,100,10,0,0
4/4/2022,April,1000,3,131,3,1,1
4/5/2022,April,1000,4,40,1,0,0
4/6/2022,April,1000,4,41,4,1,1
4/7/2022,April,1000,5,63,10,0,1
4/8/2022,April,1000,3,76,5,1,0
4/9/2022,April,1000,3,110,5,1,1
4/10/2022,April,1000,4,120,8,0,1
4/11/2022,April,1000,5,68,8,0,0
4/12/2022,April,1000,5,124,6,1,0
4/13/2022,April,1000,2,55,10,1,1
4/14/2022,April,1000,5,129,6,0,1
4/15/2022,April,1000,2,129,9,1,0
4/16/2022,April,1000,4,143,4,0,1
4/17/2022,April,1000,4,19,9,1,1
4/18/2022,April,1000,1,49,8,0,0
4/19/2022,April,1000,0,92,10,0,1
4/20/2022,April,1000,1,106,5,1,1
4/21/2022,April,1000,5,10,7,0,0
4/22/2022,April,1000,1,86,5,0,0
4/23/2022,April,1000,3,16,1,0,0
4/24/2022,April,1000,1,46,10,1,0
4/25/2022,April,1000,3,149,1,0,0
4/26/2022,April,1000,2,21,2,1,0
4/27/2022,April,1000,2,56,6,1,1
4/28/2022,April,1000,2,114,6,0,1
4/29/2022,April,1000,0,149,2,1,0
4/30/2022,April,1000,3,96,4,1,0
5/1/2022,May,1000,0,139,8,1,0
5/2/2022,May,1000,2,40,2,1,0
5/3/2022,May,1000,2,83,1,0,0
5/4/2022,May,1000,5,56,3,0,1
5/5/2022,May,1000,4,58,6,0,0
5/6/2022,May,1000,0,104,4,1,0
5/7/2022,May,1000,2,42,7,1,0
5/8/2022,May,1000,4,112,1,1,1
5/9/2022,May,1000,2,20,6,0,0
5/10/2022,May,1000,2,7,2,1,1
5/11/2022,May,1000,5,18,2,0,0
